,Дистанция,Мировой рекорд,Мировой рекорд в сек
1,"плавание в ластах - 50 м, мужчины",2022-05-02 00:15:00,15.0
2,"плавание в ластах - 100 м, мужчины",2022-05-02 00:33:52,33.52
3,"плавание в ластах - 200 м, мужчины",2022-05-02 01:18:39,78.39
4,"плавание в ластах - 400 м, мужчины",2022-05-02 02:55:34,175.34
5,"плавание в ластах - 800 м, мужчины",2022-05-02 06:13:31,373.31
6,"плавание в ластах - 1500 м, мужчины",2022-05-02 12:09:44,729.44
8,"эстафетное плавание 4х100 м, мужчины",2022-05-02 02:16:32,136.32
9,"эстафетное плавание 4х100 м, мужчины",2022-05-02 05:22:56,322.56
11,"ныряние в ластах - 50 м, мужчины",2022-05-02 00:13:42,13.42
12,"ныряние в ластах - 100 м, мужчины",2022-05-02 00:31:14,31.14
13,"ныряние в ластах - 400 м, мужчины",2022-05-02 02:40:24,160.24
14,"ныряние в ластах - 800 м, мужчины",2022-05-02 05:46:57,346.57
16,"плавание в классических ластах - 50 м, мужчины",2022-05-02 00:18:24,18.24
17,"плавание в классических ластах - 100 м, мужчины",2022-05-02 00:41:26,41.26
18,"плавание в классических ластах - 200 м, мужчины",2022-05-02 01:33:18,93.18
19,"плавание в классических ластах - 400 м, мужчины",2069-05-02 03:26:00,206.0
22,"плавание в ластах - 50 м, женщины",2022-05-02 00:16:56,16.56
23,"плавание в ластах - 100 м, женщины",2022-05-02 00:38:01,38.01
24,"плавание в ластах - 200 м, женщины",2022-05-02 01:25:24,85.24
25,"плавание в ластах - 400 м, женщины",2022-05-02 03:12:06,192.06
26,"плавание в ластах - 800 м, женщины",2022-05-02 06:46:47,406.47
27,"плавание в ластах - 1500 м, женщины",2022-05-02 13:01:28,781.28
29,"эстафетное плавание 4х100 м, женщины",2022-05-02 02:34:32,154.32
30,"эстафетное плавание 4х100 м, женщины",2022-05-02 05:49:51,349.51
32,"ныряние в ластах - 50 м, женщины",2022-05-02 00:15:06,15.06
33,"ныряние в ластах - 100 м, женщины",2022-05-02 00:34:27,34.27
34,"ныряние в ластах - 400 м, женщины",2022-05-02 02:56:28,176.28
35,"ныряние в ластах - 800 м, женщины",2022-05-02 06:18:22,378.22
37,"плавание в классических ластах - 50 м, женщины",2022-05-02 00:20:31,20.31
38,"плавание в классических ластах - 100 м, женщины",2022-05-02 00:45:09,45.09
39,"плавание в классических ластах - 200 м, женщины",2022-05-02 01:41:25,101.25
40,"плавание в классических ластах - 400 м, женщины",2022-05-02 03:44:39,224.39
